대분류,구분,원료_에너지,단위,자원발자국(kg Sb eq),탄소발자국(kg CO2 eq),오존층영향(kg CFC11 eq),산성비(kg SO2 eq),부영양화(kg PO43- eq),광화학스모그(kg C2H4 eq),물소모계수(m3 H2O eq)
원료 및 에너지 생산,건축자재,1종 포틀랜드 시멘트,kg,0.002400246,0.92632613,해당없음,0.000723822,0.000114595,해당없음,0.00077022
원료 및 에너지 생산,건축자재,2종 포틀랜드 시멘트,kg,0.002595632,0.979847887,해당없음,0.00076219,0.000106481,해당없음,0.000787441
원료 및 에너지 생산,건축자재,3종 포틀랜드 시멘트,kg,0.002581398,0.946323064,해당없음,0.000776284,0.000121567,해당없음,0.000787742
원료 및 에너지 생산,건축자재,4종 포틀랜드 시멘트,kg,0.002603133,0.980757375,해당없음,0.000769733,0.000119211,해당없음,0.000739139
원료 및 에너지 생산,건축자재,강화유리,kg,0.00981926,1.05343479,해당없음,0.006532577,0.000495868,0.002074448,0.00193
원료 및 에너지 생산,건축자재,고로 슬래그 시멘트,kg,0.001370387,0.503655563,0.000414884,해당없음,해당없음,해당없음,0.000464375
원료 및 에너지 생산,건축자재,고로슬래그 미분말,kg,0.000396091,0.070492841,해당없음,0.000249345,해당없음,해당없음,해당없음
원료 및 에너지 생산,건축자재,모래,kg,해당없음,0.002211429,해당없음,해당없음,해당없음,해당없음,해당없음
원료 및 에너지 생산,건축자재,바다모래,kg,해당없음,0.005430454,해당없음,해당없음,해당없음,해당없음,해당없음
원료 및 에너지 생산,건축자재,산림모래,kg,해당없음,0.006423283,해당없음,해당없음,해당없음,해당없음,해당없음
원료 및 에너지 생산,건축자재,석고보드,kg,0.001035017,0.13784973,해당없음,0.000782344,0.000131946,0.000271779,0.000998539
원료 및 에너지 생산,건축자재,석회석,kg,해당없음,0.002541229,해당없음,해당없음,해당없음,해당없음,0.000909927
원료 및 에너지 생산,건축자재,순환 굵은 골재,kg,0.000236086,0.035053911,해당없음,0.000171127,해당없음,해당없음,해당없음
